"","RC2","RC3","RC1","RC4","RC6","RC5","RC10","RC8","RC7","RC9"
"active",-0.0533835345931969,-0.0721250909803145,-0.0595042843881554,-0.0865024657889906,-0.304525638440393,0.092829200083612,-0.031779253585256,0.0349859109383509,-0.00758202075457776,0.032145821040733
"agreeable",0.00645701379890275,-0.39480903914186,-0.324731314462539,0.0179695567855652,0.100436327417584,0.0745825006725209,-0.0568983168647374,-0.0104339744499059,-0.0111085732405476,-0.0686556529397675
"anxious",-0.151987278596759,-0.0350337716824727,-0.00371277372341603,0.00803618908665832,0.0254798279128149,-0.0746418075514301,-0.0421408582307969,0.00626706360967332,-0.367322392833257,0.0644481460673774
"artistic",-0.0781780752033318,0.108657641740246,0.0981864376807021,0.19902173374608,0.0242318848393131,0.105758500559029,0.1218295334337,-0.246515427071323,-0.291387729965354,-0.280050295793911
"assertive",0.00822463906978753,0.190584229743826,-0.189542713378268,-0.123342959437589,-0.325010819164478,-0.0118544613078878,-0.0653454951466768,0.0940488954788867,0.116502325009187,-0.0257870657387586
"bashful",-0.0439255653843437,-0.235551297731473,0.430887440102216,-0.0132178078636193,0.10672853135246,0.0478219354222573,0.0823275673779604,0.00944350468775987,-0.0878291337478061,0.00268143912040918
"bold",0.0403032731361344,0.074082309099112,-0.109243281799155,0.0812388464612047,-0.456114624831978,-0.0218312737192361,-0.102363386366943,-0.00595850777629021,0.0898040914760559,-0.032973652484631
"bright",-0.038763515319488,-0.0607245936410242,-0.00716705670852471,0.0507039705143172,-0.0391106347253807,-0.149382826523671,0.0216919891675335,0.113211058198143,0.0135893790782006,-0.0595872530835574
"careful",0.0284204454497065,-0.0559194899860392,0.0822020979966262,-0.423386620606459,0.133902274798546,0.0435587354837055,0.0800648167183647,-0.0189879392301781,-0.0527408666042847,-0.0211455557249502
"careless",-0.117342659366995,-0.0196714460594366,-0.0541591576195957,0.493147386130317,0.0361188021775963,-0.0527415469047814,-0.136191069135557,0.0672627405752329,0.0112063281154275,0.00450387930711394
"cold",0.107769617559257,0.27272501332964,0.483547807297551,-0.0222916664791078,-0.00730560060268106,-0.100382078891206,0.104646458243375,0.0642603412525848,0.115600530230157,-0.0337887912013727
"complex",0.0926809427851727,0.0503686315471879,0.102159367518563,0.0819696710218376,-0.0432265291568852,-0.246971808659438,0.00368256250508853,-0.018109573829938,-0.0661555130202256,-0.0530917502151367
"conscientious",-0.110289266275805,-0.0601880020903481,0.057036977916967,-0.500563958386467,0.028291706104143,0.0963677088497168,0.124882743592342,0.0176787066094274,-0.0800541514617548,0.0349151247733093
"considerate",-0.109572740857483,-0.330758230420395,-0.16391611546015,-0.0248400088944566,0.0618116270741033,0.0397388293662597,-0.0398065385836132,-0.0783238629137937,-0.0699611231924004,0.039998516821555
"cooperative",-0.0499079409498085,-0.37708782287947,-0.252677957567887,-0.00830199806781941,0.0217579772130812,-0.0868461850395795,-0.07699371261268,0.0952009647830596,0.0106934633490803,0.0871167762677632
